order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDY01929,2018-01-12,08:20:16,Breakfast,TP,"[('Cereal', 8), ('Coffee', 1)]",175.5,-37.8204078,145.0131858,1,11.812999999999999,7.23
ORDB10723,2018-06-01,12:54:05,Lunch,TP,"[('Fries', 3), ('Chicken', 8)]",292.0,-37.8063608,144.9865328,0,10.18,13.65
ORDB00476,2018-08-08,15:16:03,Lunch,TP,"[('Salad', 3), ('Burger', 6), ('Chicken', 6), ('Steak', 10), ('Fries', 10)]",999.6,-37.8018767,144.9651718,0,9.625,12.707
ORDK05902,2018-11-09,18:18:35,Dinner,BK,"[('Pasta', 8), ('Salmon', 8), ('Shrimp', 10)]",1088.0,-37.8147184,144.950696,0,8.76,15.786
ORDI01328,2018-02-10,09:10:59,Breakfast,NS,"[('Eggs', 2), ('Pancake', 9), ('Coffee', 4)]",292.25,-37.8045551,144.9717143,0,6.939,14.313
ORDK07146,2018-06-13,13:24:30,Lunch,BK,"[('Burger', 3), ('Fries', 4)]",141.0,-37.8050751,144.9715944,0,7.011,13.092
ORDI10085,2018-09-08,16:16:54,Dinner,NS,"[('Fish&Chips', 8), ('Pasta', 9), ('Shrimp', 4)]",743.5,-37.819495,144.9616509,0,8.911,17.164
ORDX02939,2018-04-27,11:43:05,Breakfast,BK,"[('Cereal', 8), ('Coffee', 10), ('Eggs', 4)]",331.0,-37.8005886,144.9424587,0,9.533,14.46
ORDX09355,2018-09-23,16:47:19,Dinner,BK,"[('Salmon', 1), ('Fish&Chips', 5), ('Shrimp', 7)]",594.0,-37.8091448,144.9489121,0,9.036,18.384
ORDX03984,2018-01-03,08:00:00,Breakfast,BK,"[('Coffee', 5), ('Cereal', 2)]",79.5,-37.8033457,145.018623,1,6.035,5.229
ORDA01619,2018-02-15,09:31:16,Breakfast,BK,"[('Coffee', 4), ('Pancake', 4), ('Cereal', 3), ('Eggs', 4)]",278.0,-37.8106144,144.9757999,0,6.505,11.602
ORDY06742,2018-02-06,09:10:59,Breakfast,TP,"[('Eggs', 9), ('Cereal', 4)]",282.0,-37.8246942,144.9889731,0,9.238999999999999,12.156
ORDK05486,2018-06-22,13:44:47,Lunch,BK,"[('Steak', 1), ('Salad', 8), ('Chicken', 5), ('Fries', 3)]",378.6,-37.8106139,145.0104371,0,3.955,9.182
ORDJ04997,2018-08-31,15:56:37,Lunch,TP,"[('Salad', 8), ('Burger', 2), ('Fries', 9), ('Steak', 9)]",712.6,-37.804995,144.9566268,0,9.345,12.31
ORDB01733,2018-01-14,08:20:16,Breakfast,TP,"[('Eggs', 9), ('Pancake', 9), ('Coffee', 3)]",438.75,-37.8020875,144.9497184,1,10.05,7.064
